draw,precip_scale,evap_scale,qin_scale,net_unresolved_m_per_day,weighted_MAE_m,skill_vs_frozen,final_level_m
161,1.2739169198493365,2.095350567645922,0.7104299172795435,-0.0002495632245516749,0.25701504968263794,0.49078116500268154,1552.8428002797828
162,1.3445899075623668,2.3521048147820456,0.7954604650157034,-0.0002455401520277283,0.1517522297625626,0.6993363083470918,1552.3689235856764
163,1.3413337763321698,2.201252554568696,0.789992365448994,-0.00028838440745758024,0.2683042663237294,0.46841406333642743,1552.8282063740876
164,1.3648576969464434,2.264639974556134,0.7492827449039082,-0.00027224273817526924,0.20631564484109227,0.5912308931425249,1552.680778312765
165,1.2814992503882607,2.3855394095929,0.717010111153562,-0.00025077762248591355,0.327037207796799,0.3520476479463074,1551.8800719911494
166,1.2740055340410181,2.15033096609751,0.7410385012965455,-0.00026162361858223605,0.18884933548194027,0.6258365464478572,1552.6772169928347
167,1.3822372823324387,2.241332610390169,0.8182315969161362,-0.0002580195766979632,0.3277251262762033,0.3506846886678996,1552.9314441247025
168,1.239595537745069,2.386569965650348,0.7148643450643325,-0.00028332773313729636,0.4408780557566828,0.12649702729269152,1551.658635232769
169,1.3052987266457294,2.3266108041006626,0.7082458791219681,-0.000252509648547313,0.1916646543133486,0.6202586109252255,1552.1763493135343
170,1.2074363370128047,2.325214579021345,0.7380538430488855,-0.00027038966639183766,0.39081577132476514,0.22568444136515087,1551.7687205010684
171,1.3633227746224938,2.3835125973465656,0.7514898347781988,-0.0002795014508555732,0.16661199688000777,0.6698949456361516,1552.258949922801
172,1.3754426299471347,2.363554774146478,0.7436761049522311,-0.0002751392240366678,0.15209605519302596,0.6986550938214865,1552.3762545050647
173,1.3325975154833378,2.2876842875499803,0.7756152000788089,-0.00027414934546079935,0.15391950749819902,0.6950423238313246,1552.488218942276
174,1.1586807732720643,2.4067414532205613,0.7882683749361226,-0.0002831018897089356,0.6187025823384737,-0.22582319042118293,1551.3190187830676
175,1.3184873415021696,2.4672175847973987,0.6947984393873929,-0.00028709252820291865,0.4095879191961677,0.18849155604082213,1551.6996421429737
